handle,display_name,priority,frequency,category
@0xFarmi,Farmi,MEDIUM,Every 2hr,Airdrops/Alpha
@0xUnihax0r,Unihax0r 信心,MEDIUM,Every 2hr,Crypto/Dev
@100trillionUSD,PlanB,HIGH,Every 30min,Bitcoin/Models
@9yointern,mei,HIGH,Every 30min,Solana Ecosystem
@a1lon9,alon,HIGH,Every 30min,Solana Ecosystem
@abechung,Claynosaurz,MEDIUM,Every 2hr,Solana/NFT
@aixbt_agent,aixbt,HIGH,Every 30min,AI/Alpha
@alessandrod,Alessandro Decina,MEDIUM,Every 2hr,Solana/Dev
@alpha_gardeners,Alpha Gardeners,MEDIUM,Every 2hr,Alpha/Community
@AltcoinDaily,Daily crypto news,HIGH,Every 30min,News/Analysis
@amirhaleem,CEO Helium,MEDIUM,Every 2hr,Infrastructure/IoT
@anglio,Trader/Degen,MEDIUM,Every 2hr,Trading
@arcdotfun,arc,MEDIUM,Every 2hr,AI/Crypto
@arthur0x,Arthur,HIGH,Every 30min,VC/DeFi
@ashen_one,ashen,MEDIUM,Every 2hr,AI/Crypto
@assetdash,Smart money tracking,MEDIUM,Every 2hr,Data/Analytics
@assisterr,assisterr,MEDIUM,Every 2hr,AI/Infrastructure
@AVA_holo,AVA,MEDIUM,Every 2hr,AI/Crypto
@Baerevo,Analysis,MEDIUM,Every 2hr,Analysis
@Basem_IO,io.net,MEDIUM,Every 2hr,AI/Infrastructure
@bcs_bbt,bettercallSOL,MEDIUM,Every 2hr,Marketing/Solana
@believeapp,Believe,MEDIUM,Every 2hr,Solana/Platform
@bellaTLopez,Bellalpz,MEDIUM,Every 2hr,Crypto/Content
@BitcoinMagazine,Bitcoin Magazine,MEDIUM,Every 2hr,Bitcoin/Media
@blknoiz06,Ansem,HIGH,Every 30min,Solana/Trading
@bonk_inu,BONK official,MEDIUM,Every 2hr,Solana/Meme
@brian_armstrong,Coinbase CEO,HIGH,Every 30min,Institutional/Exchange
@BTCsessions,BTC Sessions,MEDIUM,Every 2hr,Bitcoin/Education
@btcsol_co,btcSOL (Moved to Zeus App),MEDIUM,Every 2hr,DeFi/Solana
@calilyliu,Lily Liu,HIGH,Every 30min,Solana Ecosystem
@candledottv,candle,MEDIUM,Every 2hr,Trading/Tools
@CathieDWood,Cathie Wood ARK,HIGH,Every 30min,Institutional/Macro
@CBBI_daily,BTC Index,HIGH,Every 30min,Analysis/Indicators
@chamath,Chamath Palihapitiya,MEDIUM,Every 2hr,VC/Macro
@coinbureau,Coin Bureau,HIGH,Every 30min,Analysis/Education
@Coins_Kid,CoinsKid,MEDIUM,Every 2hr,Trading
@ColdBloodShill,Cold Blooded Shiller,HIGH,Every 30min,Trading/Alpha
@ColinTCrypto,Colin Talks Crypto,HIGH,Every 30min,Analysis/Bitcoin
@cozypront,Cozy The Caller,HIGH,Every 30min,Trading/Calls
@cryptoape,MultiChain,MEDIUM,Every 2hr,DeFi/Infrastructure
@Cryptocito,Cryptocito,MEDIUM,Every 2hr,Analysis
@CryptoCon_,CryptoCon,HIGH,Every 30min,Analysis/Bitcoin
@CryptoCrewU,Bitcoin TA,HIGH,Every 30min,Analysis/TA
@CryptoCurb,curb.sol,MEDIUM,Every 2hr,Solana/Marketing
@CryptoEdgar_,Web3 data,MEDIUM,Every 2hr,Data/Analysis
@CryptoHornHairs,HornHairs,HIGH,Every 30min,Analysis/Charts
@cryptomanran,Ran Neuner,HIGH,Every 30min,Analysis/Media
@CryptoUB,UB,MEDIUM,Every 2hr,Trading/Analysis
@CryptoWendyO,Wendy O,MEDIUM,Every 2hr,News/Analysis
@Crypto_Ciara,CsquaredVC,MEDIUM,Every 2hr,VC/Investment
@ctoLarsson,CTO Larsson — Bitcoin/crypto analyst,HIGH,Every 30min,Analysis/Bitcoin
@cz_binance,CZ Binance,HIGH,Every 30min,Exchange/Institutional
@DavidSacks,David Sacks,MEDIUM,Every 2hr,VC/Politics
@DeFiTracer,TRACER,MEDIUM,Every 2hr,Alpha/Trading
@DegenerateNews,DEGEN NEWS,MEDIUM,Every 2hr,News/Sentiment
@Dither_Solana,Dither AI,MEDIUM,Every 2hr,AI/Solana
@DocumentingBTC,Documenting Bitcoin,MEDIUM,Every 2hr,Bitcoin/Media
